parasite_index,connected_localities
19617,Atlantic Ocean
19655,Atlantic Ocean
19590,Atlantic Ocean
21153,Atlantic Ocean
3053,Southern Ocean
9728,Southern Ocean
9751,Pacific Ocean
9752,Southern Ocean
19611,Southern Ocean
19618,Southern Ocean
19652,Southern Ocean
19653,Southern Ocean
19654,Southern Ocean
10527,Pacific Ocean
3018,Southern Ocean
9753,Southern Ocean
19591,Southern Ocean
19648,Atlantic Ocean
19660,Southern Ocean
3052,Pacific Ocean
19596,Southern Ocean
19597,Southern Ocean
218,Indian Ocean
27377,Indian Ocean
3020,Southern Ocean
3021,Southern Ocean
3022,Southern Ocean
20117,Atlantic Ocean
3082,Pacific Ocean
7656,Pacific Ocean
7442,Atlantic Ocean
19608,Atlantic Ocean
2432,South America
3334,South America
3352,Europe
3398,Europe
3262,North America
7651,South America
7676,South America
3274,Europe
8212,South America
2888,South America
10340,South America
10341,South America
17455,South America
17482,South America
20191,South America
20243,South America
20246,South America
20513,Atlantic Ocean
22655,South America
22924,Europe
27685,South America
30114,South America
30115,South America
272,Pacific Ocean
1288,South America
2036,Atlantic Ocean
2121,Atlantic Ocean
1309,South America
3375,South America
3919,Atlantic Ocean
4048,Atlantic Ocean
4873,Atlantic Ocean
10083,Indian Ocean
10572,Atlantic Ocean
10580,Atlantic Ocean
10635,Atlantic Ocean
10792,Atlantic Ocean
12138,Atlantic Ocean
12583,Atlantic Ocean
16829,Atlantic Ocean
16830,Atlantic Ocean
15781,Atlantic Ocean
12964,South America
12983,South America
19143,Atlantic Ocean
19765,Atlantic Ocean
19783,Atlantic Ocean
20000,Atlantic Ocean
20001,Atlantic Ocean
20862,Atlantic Ocean
21576,Atlantic Ocean
26742,Atlantic Ocean
25030,Indian Ocean
20870,Atlantic Ocean
27473,Atlantic Ocean
21873,Europe
22500,Atlantic Ocean
26375,Atlantic Ocean
22871,South America
217,Pacific Ocean
14254,Europe
29515,Pacific Ocean
229,North America
231,South America
4071,North America
6655,North America
10495,Europe
10958,Europe
13664,Europe
15405,Europe
10230,North America
15500,Europe
10489,Europe
19720,North America
20144,South America
21277,North America
21536,South America
